--- DoS/DDoS (RPM > 10) ---
ip,timestamp,requests_per_minute
192.168.4.164,2016-12-22 15:19:00+03:00,2908
192.168.4.164,2016-12-22 15:20:00+03:00,2659
192.168.4.164,2016-12-22 15:21:00+03:00,1416
192.168.4.164,2016-12-22 15:22:00+03:00,37
192.168.4.164,2016-12-22 15:23:00+03:00,15
192.168.4.164,2016-12-22 15:24:00+03:00,45
192.168.4.164,2016-12-22 15:25:00+03:00,30
192.168.4.164,2016-12-22 15:26:00+03:00,19
192.168.4.164,2016-12-22 15:27:00+03:00,12
192.168.4.164,2016-12-22 15:28:00+03:00,16
192.168.4.164,2016-12-22 15:29:00+03:00,17
192.168.4.164,2016-12-22 15:30:00+03:00,14
192.168.4.164,2016-12-22 15:32:00+03:00,14
192.168.4.164,2016-12-22 15:33:00+03:00,27
192.168.4.164,2016-12-22 15:34:00+03:00,12
192.168.4.164,2016-12-22 15:35:00+03:00,53
192.168.4.25,2016-12-22 16:18:00+03:00,349
192.168.4.25,2016-12-22 16:19:00+03:00,338
192.168.4.25,2016-12-22 16:20:00+03:00,372
192.168.4.25,2016-12-22 16:21:00+03:00,363
192.168.4.25,2016-12-22 16:22:00+03:00,363
192.168.4.25,2016-12-22 16:23:00+03:00,340
192.168.4.25,2016-12-22 16:24:00+03:00,268
192.168.4.25,2016-12-22 16:25:00+03:00,323
192.168.4.25,2016-12-22 16:26:00+03:00,410
192.168.4.25,2016-12-22 16:27:00+03:00,399
192.168.4.25,2016-12-22 16:28:00+03:00,414
192.168.4.25,2016-12-22 16:29:00+03:00,317
192.168.4.25,2016-12-22 16:30:00+03:00,298
192.168.4.25,2016-12-22 16:31:00+03:00,259
192.168.4.25,2016-12-22 16:32:00+03:00,253
192.168.4.25,2016-12-22 16:33:00+03:00,190
192.168.4.25,2016-12-22 16:34:00+03:00,194
192.168.4.25,2016-12-22 16:35:00+03:00,181
192.168.4.25,2016-12-22 16:36:00+03:00,206
192.168.4.25,2016-12-22 16:37:00+03:00,201
192.168.4.25,2016-12-22 16:38:00+03:00,225
192.168.4.25,2016-12-22 16:39:00+03:00,190
192.168.4.25,2016-12-22 16:40:00+03:00,84

--- Scanning/Brute Force Errors ---
ip,error_count
192.168.4.164,2620
192.168.4.25,979

--- SQL Injection Attacks ---
ip,sqli_count
192.168.4.164,165
192.168.4.25,44

--- XSS Attacks ---
ip,xss_count
192.168.4.164,136
192.168.4.25,29

